Subject	Item	Set	List	Trial	IntRating	PlausRating	LocNum	IntCat	Preposition	Response	RT
s59	e.4.15	with-attr-acc	4a	70	3.08	3.55	locp	unint	with	singv	12
s141	e.1.04	of-with	3a	54	2.25	3	locs	unint	with	singv	14
s22	e.4.08	with-attr-acc	1b	214	2.08	3.18	locp	unint	with	pluralv	15
s158	e.1.04	of-with	3b	165	2.25	3	locs	unint	with	singv	51
s38	e.4.12	with-attr-acc	1b	208	4.83	6.18	locp	unint	with	singv	83
s19	e.5.17	clausal	4a	123	4	4.38	locp	unint	NA	singv	123
s74	e.5.01	clausal	3b	151	4.81	6.33	locs	int	NA	singv	123
s24	e.5.03	clausal	2b	172	3.44	5.88	locp	int	NA	singv	132
s69	e.23.06	for-of-with	1a	215	5.42	5.69	locs	int	of	pluralv	145
s57	e.1.01	of-with	3a	188	5	6.55	locs	int	of	singv	156
s67	e.5.15	clausal	4a	87	2.63	5.25	locs	unint	NA	singv	168
s19	e.1.23	of-with	4a	142	1.75	2.35	locp	unint	with	singv	173
s156	e.5.10	clausal	2b	142	3.31	5.63	locs	int	NA	singv	186
s67	e.4.18	with-attr-acc	4a	139	6	6.55	locs	int	with	singv	207
s165	e.23.15	for-of-with	3a	167	5.5	6.77	locs	unint	with	singv	208
s11	e.5.27	clausal	2a	244	2.5	5.5	locs	int	NA	singv	218
s158	e.4.15	with-attr-acc	3b	82	4.67	4.18	locp	int	with	singv	219
s59	e.1.22	of-with	4a	78	2.92	3.2	locs	int	of	singv	225
s67	e.5.30	clausal	4a	148	3.56	5.25	locp	unint	NA	singv	230
s165	e.1.12	of-with	3a	253	3.58	4.65	locs	unint	with	singv	238
s24	e.4.08	with-attr-acc	2b	246	6.17	5.73	locs	int	with	singv	240
s67	e.5.24	clausal	4a	103	2.38	5.78	locs	int	NA	singv	248
s11	e.5.30	clausal	2a	193	4.56	4.38	locs	unint	NA	singv	254
s71	e.4.08	with-attr-acc	2a	135	6.17	5.73	locs	int	with	singv	255
s156	e.5.14	clausal	2b	88	2.81	5.13	locs	int	NA	singv	260
s67	e.4.12	with-attr-acc	4a	104	4.75	5	locp	int	with	singv	260
s158	e.1.12	of-with	3b	142	3.58	4.65	locs	unint	with	singv	268
