Subject	Year	Month	Day	Time	Julian
s4	2010	2	3	13:40:08	34
s5	2010	2	3	14:34:16	34
s6	2010	2	4	14:20:02	35
s7	2010	2	4	15:24:18	35
s8	2010	2	4	16:33:00	35
s10	2010	2	8	11:10:16	39
s9	2010	2	8	10:29:24	39
s11	2010	2	9	14:29:40	40
s12	2010	2	9	16:31:50	40
s13	2010	2	9	17:34:42	40
s14	2010	2	10	10:34:18	41
s15	2010	2	10	11:33:40	41
s16	2010	2	15	13:19:34	46
s17	2010	2	15	14:20:50	46
s18	2010	2	16	13:27:56	47
s19	2010	2	16	14:33:42	47
s20	2010	2	16	15:24:14	47
s21	2010	2	16	16:43:30	47
s22	2010	2	16	17:56:34	47
s23	2010	2	17	12:30:06	48
s24	2010	2	17	13:30:42	48
s25	2010	2	17	14:32:20	48
s26	2010	2	18	14:27:06	49
s27	2010	2	18	15:46:20	49
s28	2010	2	18	16:24:28	49
s29	2010	2	18	17:35:56	49
s30	2010	2	22	11:24:12	53
s31	2010	2	23	16:10:58	54
s32	2010	3	2	13:26:38	61
s33	2010	3	2	14:41:26	61
s34	2010	3	2	15:28:56	61
s35	2010	3	2	16:45:34	61
s36	2010	3	2	17:33:52	61
s37	2010	3	3	10:43:33	62
s38	2010	3	3	11:42:39	62
s39	2010	3	3	12:34:42	62
s40	2010	3	3	13:22:50	62
s41	2010	3	4	14:25:25	63
s42	2010	3	4	15:31:25	63
s43	2010	3	11	13:37:48	70
s44	2010	3	11	15:50:02	70
s45	2010	3	17	12:56:14	76
s46	2010	3	17	13:46:30	76
s47	2010	3	18	15:50:34	77
s48	2010	3	19	14:25:33	78
s49	2010	3	29	11:25:53	88
s50	2010	3	30	15:25:23	89
s51	2010	3	31	13:31:23	90
s52	2010	3	31	14:49:23	90
s53	2010	4	1	13:26:00	91
s54	2010	4	1	14:30:37	91
s55	2010	4	5	13:35:38	95
s56	2010	4	6	16:24:28	96
s57	2010	4	13	14:39:47	103
s58	2010	4	21	11:24:12	111
s59	2010	4	23	16:38:02	113
s60	2010	4	26	09:27:38	116
s61	2010	4	26	12:11:03	116
s62	2010	4	26	13:06:11	116
s63	2010	4	26	13:50:35	116
s64	2010	4	26	14:56:08	116
s65	2010	4	26	17:26:47	116
s136	2010	4	27	16:44:21	117
s66	2010	4	27	08:29:56	117
s67	2010	4	27	11:35:42	117
s68	2010	4	27	15:28:36	117
s69	2010	4	28	10:35:45	118
s70	2010	4	28	13:45:27	118
s71	2010	4	28	14:25:44	118
s72	2010	4	29	10:37:24	119
s73	2010	4	30	15:27:57	120
s150	2010	5	3	17:24:50	123
s172	2010	5	3	14:50:34	123
s74	2010	5	3	10:17:13	123
s75	2010	5	3	11:16:44	123
s76	2010	5	3	13:33:05	123
s142	2010	5	4	12:48:51	124
s156	2010	5	4	10:18:19	124
s164	2010	5	5	12:20:39	125
s236	2010	5	6	09:18:59	126
s264	2010	5	6	14:46:30	126
s272	2010	5	6	14:46:30	126
s165	2010	6	2	16:29:57	153
s175	2010	6	8	14:43:07	159
s141	2010	6	25	15:48:06	176
s148	2010	6	25	15:17:31	176
s163	2010	6	25	11:49:29	176
s168	2010	6	25	10:29:43	176
s127	2010	6	28	13:29:55	179
s158	2010	6	28	12:36:21	179
s248	2010	6	28	09:38:09	179
s336	2010	6	28	14:37:35	179
