tokenID	talker	consonant	repetition	place	voicing	vowel	closureDur	closureInt	burstInt
1	5	p	4	bilabial	voiceless	u	0.07713308	59.53449356	48.64378872
2	8	d	5	alveolar	voiced	i	0.042782432	75.46013111	74.87671589
3	9	d	5	alveolar	voiced	a	0.022268709	77.31589713	79.53432593
4	3	g	5	velar	voiced	&	0.038550925	76.39511558	77.59397539
5	2	p	6	bilabial	voiceless	a	0.08178509	64.74562762	69.96167208
6	11	g	4	velar	voiced	a	0.05030785	66.56694185	61.26654383
7	6	k	6	velar	voiceless	i	0.042257941	52.82801368	58.78899659
8	11	p	1	bilabial	voiceless	u	0.057218308	68.75352902	76.48652313
9	2	b	6	bilabial	voiced	a	0.084686303	70.47466412	79.53457142
10	5	g	6	velar	voiced	&	0.055560831	70.47467553	74.2688717
11	11	b	4	bilabial	voiced	&	0.045807483	70.28548454	75.44923824
12	8	p	6	bilabial	voiceless	&	0.060496933	67.6933173	65.79993684
13	3	k	2	velar	voiceless	a	0.049637853	64.30712647	64.82225089
14	3	p	2	bilabial	voiceless	a	0.069719841	66.89045899	66.99227746
15	12	k	2	velar	voiceless	&	0.057362387	53.57114881	59.81842515
16	10	t	3	alveolar	voiceless	i	0.023451803	55.56120327	50.71230858
17	6	d	5	alveolar	voiced	u	0.045706891	67.66405813	68.73299145
18	2	g	6	velar	voiced	u	0.085887025	65.28245809	64.58226079
19	9	k	5	velar	voiceless	a	0.065641936	58.61895588	64.22558775
20	5	t	5	alveolar	voiceless	i	0.077967908	56.41275753	58.06159093
21	1	g	4	velar	voiced	i	0.102515565	67.8769798	74.14660631
22	3	k	6	velar	voiceless	i	0.022371262	53.4413103	45.52480197
23	5	p	5	bilabial	voiceless	&	0.068742483	62.14360418	53.0674953
24	1	b	2	bilabial	voiced	u	0.077494581	67.65205959	75.24755539
25	9	k	4	velar	voiceless	u	0.045799777	71.0504604	77.02096997
26	11	d	2	alveolar	voiced	a	0.026296868	73.46798948	77.5601771
27	11	b	2	bilabial	voiced	&	0.055274613	69.6826934	74.7427505
28	10	g	5	velar	voiced	a	0.046036464	68.87924813	72.21189665
29	8	g	5	velar	voiced	&	0.035774154	74.31129858	76.50555426
30	11	d	3	alveolar	voiced	a	0.031625444	71.82758056	76.82670802
31	5	k	6	velar	voiceless	i	0.069776979	49.62191871	51.56543037
32	10	d	1	alveolar	voiced	&	0.027277345	69.37499866	71.46569825
33	1	t	4	alveolar	voiceless	u	0.068789471	64.91468579	65.71780281
34	5	p	2	bilabial	voiceless	a	0.104098346	66.637033	76.61202572
35	10	d	1	alveolar	voiced	&	0.018478622	68.31914426	69.51083274
36	9	b	1	bilabial	voiced	u	0.021360661	78.27255273	78.98370531
37	3	d	5	alveolar	voiced	&	0.039613717	73.51119259	78.42687754
38	9	k	1	velar	voiceless	&	0.062443598	61.83407773	61.56510992
39	8	d	3	alveolar	voiced	&	0.032968699	74.17462122	76.63490493
40	3	p	2	bilabial	voiceless	u	0.045896362	68.23242738	55.45344321
41	12	p	2	bilabial	voiceless	a	0.077191122	55.41996846	58.61777094
42	12	g	2	velar	voiced	u	0.063857957	65.19216579	67.89174072
43	4	p	6	bilabial	voiceless	i	0.083266579	64.69436347	70.98241487
44	3	p	6	bilabial	voiceless	i	0.07205596	65.29767381	73.45095878
45	11	b	2	bilabial	voiced	u	0.059726473	73.37574166	77.25614322
46	1	p	4	bilabial	voiceless	u	0.098419662	69.70457102	84.39615663
47	1	d	5	alveolar	voiced	a	0.076392902	75.47428939	80.03882236
48	3	g	6	velar	voiced	u	0.053862466	68.46243107	65.6312064
49	4	p	4	bilabial	voiceless	a	0.064222823	65.43714644	61.66783082
50	6	k	5	velar	voiceless	a	0.046637355	64.6998928	67.06377391
51	1	g	1	velar	voiced	&	0.046056642	74.28634484	74.96448918
52	5	p	5	bilabial	voiceless	&	0.071339872	65.41315802	62.60344077
53	5	p	2	bilabial	voiceless	&	0.099566383	67.90586076	77.04876105
54	3	d	5	alveolar	voiced	u	0.052161236	71.85390086	77.47661515
55	5	b	2	bilabial	voiced	i	0.054289063	68.50017029	72.93902165
56	1	g	2	velar	voiced	a	0.075896026	71.10543777	68.44743737
57	5	b	4	bilabial	voiced	&	0.035946745	73.5813076	74.80289346
58	5	t	5	alveolar	voiceless	a	0.041343758	60.69357676	52.67963262
59	9	g	2	velar	voiced	a	0.058592921	72.60719872	76.531228
60	12	d	4	alveolar	voiced	i	0.034299993	72.69829714	74.75694033
61	9	g	3	velar	voiced	a	0.057138699	72.64736336	78.89453326
