subject	vot	targetVoicing	continuum	taskRelevance	n1Amplitude	n1Latency	countTargetResponse
1	0	voiced	bilabial	FALSE	-0.60039	102	1
1	0	voiced	bilabial	TRUE	-2.5107	90	29
1	0	voiced	alveolar	FALSE	-0.12904	86	0
1	0	voiced	alveolar	TRUE	-3.2185	74	25
1	0	voiceless	bilabial	FALSE	-3.4483	66	0
1	0	voiceless	bilabial	TRUE	-6.6483	102	1
1	0	voiceless	alveolar	FALSE	-9.1932	54	0
1	0	voiceless	alveolar	TRUE	-2.0383	98	0
1	5	voiced	bilabial	FALSE	-3.1679	102	0
1	5	voiced	bilabial	TRUE	-2.587	94	22
1	5	voiced	alveolar	FALSE	-4.1275	70	0
1	5	voiced	alveolar	TRUE	-2.5613	78	23
1	5	voiceless	bilabial	FALSE	-2.5185	74	0
1	5	voiceless	bilabial	TRUE	-3.2857	54	0
1	5	voiceless	alveolar	FALSE	-4.168	94	0
1	5	voiceless	alveolar	TRUE	-5.2727	66	0
1	10	voiced	bilabial	FALSE	-5.8253	86	0
1	10	voiced	bilabial	TRUE	-4.9906	74	32
1	10	voiced	alveolar	FALSE	-3.1773	90	0
1	10	voiced	alveolar	TRUE	-4.3308	58	31
1	10	voiceless	bilabial	FALSE	-2.9925	106	0
1	10	voiceless	bilabial	TRUE	-2.1402	90	2
1	10	voiceless	alveolar	FALSE	-6.3828	66	0
1	10	voiceless	alveolar	TRUE	0.43188	98	0
1	15	voiced	bilabial	FALSE	-1.9284	82	0
1	15	voiced	bilabial	TRUE	1.3226	102	26
1	15	voiced	alveolar	FALSE	-7.1533	70	1
1	15	voiced	alveolar	TRUE	-2.4538	86	23
1	15	voiceless	bilabial	FALSE	-6.2046	46	0
1	15	voiceless	bilabial	TRUE	-1.8592	114	4
1	15	voiceless	alveolar	FALSE	-2.0257	86	0
1	15	voiceless	alveolar	TRUE	-3.3812	66	1
1	20	voiced	bilabial	FALSE	-1.6739	90	0
1	20	voiced	bilabial	TRUE	-1.7933	94	22
1	20	voiced	alveolar	FALSE	-3.991	66	0
1	20	voiced	alveolar	TRUE	-2.8883	74	26
1	20	voiceless	bilabial	FALSE	-4.0877	90	0
1	20	voiceless	bilabial	TRUE	-4.7496	102	7
1	20	voiceless	alveolar	FALSE	-3.9468	90	0
1	20	voiceless	alveolar	TRUE	-5.3073	86	10
1	25	voiced	bilabial	FALSE	-2.6777	110	0
1	25	voiced	bilabial	TRUE	-4.703	78	14
1	25	voiced	alveolar	FALSE	-2.0885	102	0
1	25	voiced	alveolar	TRUE	-1.0251	106	13
1	25	voiceless	bilabial	FALSE	-2.6567	86	0
1	25	voiceless	bilabial	TRUE	-2.9472	86	16
1	25	voiceless	alveolar	FALSE	-2.1726	102	1
1	25	voiceless	alveolar	TRUE	-3.8269	102	22
1	30	voiced	bilabial	FALSE	0.57528	94	0
1	30	voiced	bilabial	TRUE	-3.4452	90	11
1	30	voiced	alveolar	FALSE	0.62328	106	1
1	30	voiced	alveolar	TRUE	-2.0582	118	0
1	30	voiceless	bilabial	FALSE	-5.4844	78	0
1	30	voiceless	bilabial	TRUE	-2.4779	90	22
1	30	voiceless	alveolar	FALSE	-0.60627	106	1
1	30	voiceless	alveolar	TRUE	-3.5839	78	28
1	35	voiced	bilabial	FALSE	1.3428	114	0
1	35	voiced	bilabial	TRUE	-6.0157	78	9
1	35	voiced	alveolar	FALSE	-5.4767	62	0
1	35	voiced	alveolar	TRUE	-2.8265	82	2
