time	distance	voltage
-190	1	0.209914189
-186	1	0.278003941
-182	1	0.378398883
-178	1	0.478054441
-174	1	0.520333995
-170	1	0.53054674
-166	1	0.579462589
-162	1	0.646841847
-158	1	0.67263413
-154	1	0.606759873
-150	1	0.534106499
-146	1	0.515593646
-142	1	0.489564493
-138	1	0.418696059
-134	1	0.281847633
-130	1	0.168125873
-126	1	0.120490972
-122	1	0.064276842
-118	1	-0.088775724
-114	1	-0.19734976
-110	1	-0.262097268
-106	1	-0.315155789
-102	1	-0.400327556
-98	1	-0.483882906
-94	1	-0.441691825
-90	1	-0.311041072
-86	1	-0.296220019
-82	1	-0.32844641
-78	1	-0.249729185
-74	1	-0.130638741
-70	1	-0.042265611
-66	1	-0.061786555
-62	1	-0.093444083
-58	1	-0.029530948
-54	1	0.028109981
-50	1	-0.01930712
-46	1	-0.098134536
-42	1	-0.169262819
-38	1	-0.223055546
-34	1	-0.300011863
-30	1	-0.35093199
-26	1	-0.401072741
-22	1	-0.429170363
-18	1	-0.454005669
-14	1	-0.433185083
-10	1	-0.384083699
-6	1	-0.362642853
-2	1	-0.375204384
2	1	-0.335228215
6	1	-0.24976035
10	1	-0.145486786
14	1	-0.050522892
18	1	0.062892569
22	1	0.19387556
26	1	0.286602794
30	1	0.296502758
34	1	0.279588119
38	1	0.251535555
42	1	0.131498549
46	1	-0.055119701
50	1	-0.213339494
54	1	-0.315548809
58	1	-0.452504041
62	1	-0.728995132
66	1	-1.077572188
70	1	-1.374986525
74	1	-1.682297683
78	1	-2.099186986
82	1	-2.567323503
86	1	-3.024679959
90	1	-3.392362173
94	1	-3.64797564
98	1	-3.906595844
102	1	-4.053301472
106	1	-4.142343176
110	1	-4.106082046
114	1	-3.990203316
118	1	-3.809355995
122	1	-3.611904416
126	1	-3.345275997
130	1	-3.053721949
134	1	-2.676138175
138	1	-2.347754377
142	1	-1.947921527
146	1	-1.58832219
150	1	-1.214665846
154	1	-0.817175106
158	1	-0.456138308
162	1	-0.077994724
166	1	0.263467235
170	1	0.537241743
174	1	0.814108908
178	1	1.004775167
182	1	1.14452069
186	1	1.248058491
190	1	1.349048682
194	1	1.460770895
198	1	1.516160119
202	1	1.543767009
206	1	1.605327035
210	1	1.6298233
214	1	1.637771027
218	1	1.659679662
222	1	1.674125
226	1	1.705222796
230	1	1.720526919
234	1	1.744692312
238	1	1.799634016
242	1	1.868048075
246	1	1.809928952
250	1	1.775878945
254	1	1.785038776
258	1	1.847249156
262	1	1.881828809
266	1	1.901676353
270	1	1.923686067
274	1	1.988998863
278	1	2.041839279
282	1	2.087920713
286	1	2.17159833
290	1	2.2816682
294	1	2.430661
298	1	2.550788773
302	1	2.735568161
306	1	2.939669598
310	1	3.15515365
314	1	3.354041861
318	1	3.586474267
322	1	3.804654206
326	1	4.087196024
330	1	4.318351685
334	1	4.524972416
338	1	4.731582084
342	1	4.877917288
346	1	4.956830752
350	1	5.021026033
354	1	5.01480139
358	1	4.972456952
362	1	4.922258916
366	1	4.851146258
370	1	4.865156755
374	1	4.902368903
378	1	4.915049898
382	1	4.912942403
386	1	4.970736895
390	1	5.010092528
394	1	5.042111819
398	1	5.048383439
402	1	5.067402752
406	1	5.104220583
410	1	5.129796635
414	1	5.107392477
418	1	5.123427303
422	1	5.078174395
426	1	5.009473392
430	1	4.951657633
434	1	4.880407633
438	1	4.834896301
442	1	4.791308393
446	1	4.706734084
450	1	4.717129671
454	1	4.712964699
458	1	4.706165161
462	1	4.692402706
466	1	4.662747731
470	1	4.690484714
474	1	4.755502211
478	1	4.772570563
482	1	4.774266086
486	1	4.735873678
490	1	4.733702371
494	1	4.744918769
498	1	4.741730894
502	1	4.757214845
506	1	4.803194282
510	1	4.83238384
514	1	4.862030894
518	1	4.904440089
522	1	4.978098793
526	1	5.029469839
530	1	5.034011449
534	1	5.028070217
538	1	5.046966745
542	1	5.090713365
546	1	5.075616247
550	1	5.024900151
554	1	4.994959385
558	1	4.997298671
562	1	4.94852826
566	1	4.927790584
570	1	4.918085814
574	1	4.888375457
578	1	4.820814288
582	1	4.744474867
586	1	4.708135311
590	1	4.690397099
594	1	4.63312351
598	1	4.607801061
602	1	4.625902158
606	1	4.659514926
610	1	4.680278928
614	1	4.628324173
618	1	4.626571691
622	1	4.632463617
626	1	4.591923467
630	1	4.528711247
634	1	4.513890541
638	1	4.505998715
642	1	4.513963511
646	1	4.487016595
650	1	4.458657612
654	1	4.374227995
658	1	4.323925367
662	1	4.309811451
666	1	4.278176645
670	1	4.270874324
674	1	4.245101936
678	1	4.178970747
682	1	4.117679929
686	1	4.041331143
690	1	3.938207311
694	1	3.815834464
698	1	3.629576403
702	1	3.485638418
706	1	3.378108459
710	1	3.267406224
714	1	3.106801515
718	1	2.936044186
722	1	2.822264334
726	1	2.755160737
730	1	2.677538696
734	1	2.642129026
738	1	2.629106773
742	1	2.667227895
746	1	2.735902972
750	1	2.772795298
754	1	2.770593081
758	1	2.728480071
762	1	2.659555081
766	1	2.616236151
770	1	2.524399009
774	1	2.420125948
778	1	2.294261816
782	1	2.156748782
786	1	2.063782864
790	1	1.964537339
794	1	1.797509624
798	1	1.649080849
802	1	1.490760696
806	1	1.369064921
810	1	1.298212355
814	1	1.209818834
818	1	1.104959342
822	1	1.098330918
826	1	1.123564691
830	1	1.150518901
834	1	1.168200571
838	1	1.162160888
842	1	1.141583643
846	1	1.154246699
850	1	1.155287113
854	1	1.190375881
858	1	1.204184019
862	1	1.197734348
866	1	1.200246279
870	1	1.24769956
874	1	1.2873757
878	1	1.290354719
882	1	1.25660862
886	1	1.188500753
890	1	1.154272219
894	1	1.065899676
898	1	0.966725707
902	1	0.868855607
906	1	0.783304607
910	1	0.711714589
914	1	0.680489852
